Name,Symbol,Lot_Size,Strike_Price,Tick_Size,Last_Close
JK CEMENT LIMITED,JKCEMENT,250,,,0
JSW STEEL LIMITED,JSWSTEEL,1350,,,0
JUBILANT FOODWORKS LTD,JUBLFOOD,1250,,,0
KOTAK MAHINDRA BANK LTD,KOTAKBANK,400,,,0
L&T FINANCE HOLDINGS LTD,L&TFH,8924,,,0
L&T INFOTECH LIMITED,LTI,150,,,0
L&T TECHNOLOGY SER. LTD.,LTTS,200,,,0
LARSEN & TOUBRO LTD.,LT,300,,,0
LAURUS LABS LIMITED,LAURUSLABS,900,,,0
LIC HOUSING FINANCE LTD,LICHSGFIN,2000,,,0
LUPIN LIMITED,LUPIN,850,,,0
M&M FIN. SERVICES LTD,M&MFIN,4000,,,0
MAHANAGAR GAS LTD.,MGL,800,,,0
MAHINDRA & MAHINDRA LTD,M&M,700,,,0
MANAPPURAM FINANCE LTD,MANAPPURAM,6000,,,0
MARICO LIMITED,MARICO,1200,,,0
MARUTI SUZUKI INDIA LTD.,MARUTI,100,,,0
MAX FINANCIAL SERV LTD,MFSL,650,,,0
METROPOLIS HEALTHCARE LTD,METROPOLIS,300,,,0
MINDTREE LIMITED,MINDTREE,200,,,0
MPHASIS LIMITED,MPHASIS,175,,,0
MRF LTD,MRF,10,,,0
MULTI COMMODITY EXCHANGE,MCX,400,,,0
NATIONAL ALUMINIUM CO LTD,NATIONALUM,4250,,,0
NAVIN FLUORINE INT. LTD,NAVINFLUOR,225,,,0
NBCC (INDIA) LIMITED,NBCC,15000,,,0
NESTLE INDIA LIMITED,NESTLEIND,40,,,0
NIPPON L I A M LTD,NAM-INDIA,1600,,,0
NMDC LTD.,NMDC,3350,,,0
NTPC LTD,NTPC,5700,,,0
OBEROI REALTY LIMITED,OBEROIRLTY,700,,,0
OIL AND NATURAL GAS CORP.,ONGC,3850,,,0
ORACLE FIN SERV SOFT LTD.,OFSS,200,,,0
PAGE INDUSTRIES LTD,PAGEIND,15,,,0
PERSISTENT SYSTEMS LTD,PERSISTENT,150,,,0
PETRONET LNG LIMITED,PETRONET,3000,,,0
PI INDUSTRIES LTD,PIIND,250,,,0
PIDILITE INDUSTRIES LTD,PIDILITIND,250,,,0
PIRAMAL ENTERPRISES LTD,PEL,275,,,0
POLYCAB INDIA LIMITED,POLYCAB,300,,,0
POWER FIN CORP LTD.,PFC,6200,,,0
POWER GRID CORP. LTD.,POWERGRID,2700,,,0
PUNJAB NATIONAL BANK,PNB,16000,,,0
PVR LIMITED,PVR,407,,,0
RAIN INDUSTRIES LIMITED,RAIN,3500,,,0
RBL BANK LIMITED,RBLBANK,5000,,,0
REC LIMITED,RECLTD,6000,,,0
RELIANCE INDUSTRIES LTD,RELIANCE,250,,,0
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,4500,,,0
SBI CARDS & PAY SER LTD,SBICARD,800,,,0
SBI LIFE INSURANCE CO LTD,SBILIFE,750,,,0
SHREE CEMENT LIMITED,SHREECEM,25,,,0
SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN,600,,,0
SIEMENS LTD,SIEMENS,275,,,0
SRF LTD,SRF,375,,,0
STATE BANK OF INDIA,SBIN,1500,,,0
STEEL AUTHORITY OF INDIA,SAIL,6000,,,0
SUN PHARMACEUTICAL IND L,SUNPHARMA,700,,,0
SUN TV NETWORK LIMITED,SUNTV,1500,,,0
SYNGENE INTERNATIONAL LTD,SYNGENE,1000,,,0
TATA CHEMICALS LTD,TATACHEM,1000,,,0
TATA COMMUNICATIONS LTD,TATACOMM,500,,,0
TATA CONSULTANCY SERV LT,TCS,150,3000,20,0
TATA CONSUMER PRODUCT LTD,TATACONSUM,900,,,0
